Date,Time,Energy
14/09/2024,12:45PM,35.500kWh
14/09/2024,12:40PM,35.251kWh
14/09/2024,12:35PM,34.518kWh
14/09/2024,12:30PM,34.010kWh
14/09/2024,12:25PM,33.017kWh
14/09/2024,12:20PM,32.053kWh
14/09/2024,12:15PM,31.264kWh
14/09/2024,12:10PM,30.635kWh
14/09/2024,12:05PM,30.180kWh
14/09/2024,12:00PM,29.868kWh
14/09/2024,11:55AM,29.551kWh
14/09/2024,11:50AM,29.087kWh
14/09/2024,11:45AM,28.193kWh
14/09/2024,11:40AM,27.171kWh
14/09/2024,11:35AM,26.835kWh
14/09/2024,11:30AM,26.429kWh
14/09/2024,11:25AM,25.755kWh
14/09/2024,11:20AM,24.918kWh
14/09/2024,11:15AM,24.022kWh
14/09/2024,11:10AM,23.151kWh
14/09/2024,11:05AM,22.325kWh
14/09/2024,11:00AM,21.505kWh
14/09/2024,10:55AM,20.684kWh
14/09/2024,10:50AM,19.858kWh
14/09/2024,10:45AM,19.019kWh
14/09/2024,10:40AM,18.176kWh
14/09/2024,10:35AM,17.368kWh
14/09/2024,10:30AM,16.537kWh
14/09/2024,10:25AM,15.761kWh
14/09/2024,10:20AM,15.321kWh
14/09/2024,10:15AM,14.700kWh
14/09/2024,10:10AM,14.076kWh
14/09/2024,10:05AM,13.485kWh
14/09/2024,10:00AM,12.733kWh
14/09/2024,9:55AM,12.023kWh
14/09/2024,9:50AM,11.335kWh
14/09/2024,9:45AM,10.651kWh
14/09/2024,9:40AM,9.978kWh
14/09/2024,9:35AM,9.315kWh
14/09/2024,9:30AM,8.677kWh
14/09/2024,9:25AM,8.093kWh
14/09/2024,9:20AM,7.497kWh
14/09/2024,9:15AM,6.974kWh
14/09/2024,9:10AM,6.622kWh
14/09/2024,9:05AM,6.105kWh
14/09/2024,9:00AM,5.604kWh
14/09/2024,8:55AM,5.121kWh
14/09/2024,8:50AM,4.652kWh
14/09/2024,8:45AM,4.209kWh
14/09/2024,8:40AM,3.787kWh
14/09/2024,8:35AM,3.384kWh
14/09/2024,8:30AM,3.004kWh
14/09/2024,8:25AM,2.647kWh
14/09/2024,8:20AM,2.314kWh
14/09/2024,8:15AM,2.003kWh
14/09/2024,8:10AM,1.708kWh
14/09/2024,8:05AM,1.450kWh
14/09/2024,8:00AM,1.211kWh
14/09/2024,7:55AM,0.986kWh
14/09/2024,7:50AM,0.783kWh
14/09/2024,7:45AM,0.611kWh
14/09/2024,7:40AM,0.461kWh
14/09/2024,7:35AM,0.334kWh
14/09/2024,7:30AM,0.243kWh
14/09/2024,7:25AM,0.175kWh
14/09/2024,7:20AM,0.118kWh
14/09/2024,7:15AM,0.076kWh
14/09/2024,7:10AM,0.045kWh
14/09/2024,7:05AM,0.022kWh
14/09/2024,7:00AM,0.009kWh
14/09/2024,6:55AM,0.004kWh
14/09/2024,6:50AM,0.001kWh
14/09/2024,6:45AM,0.000kWh
14/09/2024,6:40AM,0.000kWh
14/09/2024,6:35AM,0.000kWh
14/09/2024,6:30AM,0.000kWh
14/09/2024,6:25AM,0.000kWh
14/09/2024,6:20AM,0.000kWh
14/09/2024,6:15AM,0.000kWh
14/09/2024,6:10AM,0.000kWh
14/09/2024,6:05AM,0.000kWh
14/09/2024,6:00AM,0.000kWh
14/09/2024,5:55AM,0.000kWh
14/09/2024,5:50AM,0.000kWh
14/09/2024,5:45AM,0.000kWh
14/09/2024,5:40AM,0.000kWh
14/09/2024,5:35AM,0.000kWh
14/09/2024,5:30AM,0.000kWh
14/09/2024,5:25AM,0.000kWh
14/09/2024,5:20AM,0.000kWh
14/09/2024,5:15AM,0.000kWh
14/09/2024,5:10AM,0.000kWh
14/09/2024,5:05AM,0.000kWh
14/09/2024,5:00AM,0.000kWh
14/09/2024,4:55AM,0.000kWh
14/09/2024,4:50AM,0.000kWh
14/09/2024,4:45AM,0.000kWh
14/09/2024,4:40AM,0.000kWh
14/09/2024,4:35AM,0.000kWh
14/09/2024,4:30AM,0.000kWh
14/09/2024,4:25AM,0.000kWh
14/09/2024,4:20AM,0.000kWh
14/09/2024,4:15AM,0.000kWh
14/09/2024,4:10AM,0.000kWh
14/09/2024,4:05AM,0.000kWh
14/09/2024,4:00AM,0.000kWh
14/09/2024,3:55AM,0.000kWh
14/09/2024,3:50AM,0.000kWh
14/09/2024,3:45AM,0.000kWh
14/09/2024,3:40AM,0.000kWh
14/09/2024,3:35AM,0.000kWh
14/09/2024,3:30AM,0.000kWh
14/09/2024,3:25AM,0.000kWh
14/09/2024,3:20AM,0.000kWh
14/09/2024,3:15AM,0.000kWh
14/09/2024,3:10AM,0.000kWh
14/09/2024,3:05AM,0.000kWh
14/09/2024,3:00AM,0.000kWh
14/09/2024,2:55AM,0.000kWh
14/09/2024,2:50AM,0.000kWh
14/09/2024,2:45AM,0.000kWh
14/09/2024,2:40AM,0.000kWh
14/09/2024,2:35AM,0.000kWh
14/09/2024,2:30AM,0.000kWh
14/09/2024,2:25AM,0.000kWh
14/09/2024,2:20AM,0.000kWh
14/09/2024,2:15AM,0.000kWh
14/09/2024,2:10AM,0.000kWh
14/09/2024,2:05AM,0.000kWh
14/09/2024,2:00AM,0.000kWh
14/09/2024,1:55AM,0.000kWh
14/09/2024,1:50AM,0.000kWh
14/09/2024,1:45AM,0.000kWh
14/09/2024,1:40AM,0.000kWh
14/09/2024,1:35AM,0.000kWh
14/09/2024,1:30AM,0.000kWh
14/09/2024,1:25AM,0.000kWh
14/09/2024,1:20AM,0.000kWh
14/09/2024,1:15AM,0.000kWh
14/09/2024,1:10AM,0.000kWh
14/09/2024,1:05AM,0.000kWh
14/09/2024,1:00AM,0.000kWh
14/09/2024,12:55AM,0.000kWh
14/09/2024,12:50AM,0.000kWh
14/09/2024,12:45AM,0.000kWh
14/09/2024,12:40AM,0.000kWh
14/09/2024,12:35AM,0.000kWh
14/09/2024,12:30AM,0.000kWh
14/09/2024,12:25AM,0.000kWh
14/09/2024,12:20AM,0.000kWh
14/09/2024,12:15AM,0.000kWh
14/09/2024,12:10AM,0.000kWh
14/09/2024,12:05AM,0.000kWh
13/09/2024,11:55PM,80.641kWh
13/09/2024,11:50PM,80.641kWh
13/09/2024,11:45PM,80.641kWh
13/09/2024,11:40PM,80.641kWh
13/09/2024,11:35PM,80.641kWh
13/09/2024,11:30PM,80.641kWh
13/09/2024,11:25PM,80.641kWh
13/09/2024,11:20PM,80.641kWh
13/09/2024,11:15PM,80.641kWh
13/09/2024,11:10PM,80.641kWh
13/09/2024,11:05PM,80.641kWh
13/09/2024,11:00PM,80.641kWh
13/09/2024,10:55PM,80.641kWh
13/09/2024,10:50PM,80.641kWh
13/09/2024,10:45PM,80.641kWh
13/09/2024,10:40PM,80.641kWh
13/09/2024,10:35PM,80.641kWh
13/09/2024,10:30PM,80.641kWh
13/09/2024,10:25PM,80.641kWh
13/09/2024,10:20PM,80.641kWh
13/09/2024,10:15PM,80.641kWh
13/09/2024,10:10PM,80.641kWh
13/09/2024,10:05PM,80.641kWh
13/09/2024,10:00PM,80.641kWh
13/09/2024,9:55PM,80.641kWh
13/09/2024,9:50PM,80.641kWh
13/09/2024,9:45PM,80.641kWh
13/09/2024,9:40PM,80.641kWh
13/09/2024,9:35PM,80.641kWh
13/09/2024,9:30PM,80.641kWh
13/09/2024,9:25PM,80.641kWh
13/09/2024,9:20PM,80.641kWh
13/09/2024,9:15PM,80.641kWh
13/09/2024,9:10PM,80.641kWh
13/09/2024,9:05PM,80.641kWh
13/09/2024,9:00PM,80.641kWh
13/09/2024,8:55PM,80.641kWh
13/09/2024,8:50PM,80.641kWh
13/09/2024,8:45PM,80.641kWh
13/09/2024,8:40PM,80.641kWh
13/09/2024,8:35PM,80.641kWh
13/09/2024,8:30PM,80.641kWh
13/09/2024,8:25PM,80.641kWh
13/09/2024,8:20PM,80.641kWh
13/09/2024,8:15PM,80.641kWh
13/09/2024,8:10PM,80.641kWh
13/09/2024,8:05PM,80.641kWh
13/09/2024,8:00PM,80.641kWh
13/09/2024,7:55PM,80.641kWh
13/09/2024,7:50PM,80.641kWh
13/09/2024,7:45PM,80.641kWh
13/09/2024,7:40PM,80.641kWh
13/09/2024,7:35PM,80.641kWh
13/09/2024,7:30PM,80.641kWh
13/09/2024,7:25PM,80.641kWh
13/09/2024,7:20PM,80.641kWh
13/09/2024,7:15PM,80.641kWh
13/09/2024,7:10PM,80.639kWh
13/09/2024,7:05PM,80.636kWh
13/09/2024,7:00PM,80.631kWh
13/09/2024,6:55PM,80.626kWh
13/09/2024,6:50PM,80.617kWh
13/09/2024,6:45PM,80.607kWh
13/09/2024,6:40PM,80.594kWh
13/09/2024,6:35PM,80.577kWh
13/09/2024,6:30PM,80.557kWh
13/09/2024,6:25PM,80.534kWh
13/09/2024,6:20PM,80.509kWh
13/09/2024,6:15PM,80.477kWh
13/09/2024,6:10PM,80.438kWh
13/09/2024,6:05PM,80.393kWh
13/09/2024,6:00PM,80.321kWh
13/09/2024,5:55PM,80.212kWh
13/09/2024,5:50PM,80.083kWh
13/09/2024,5:45PM,79.899kWh
13/09/2024,5:40PM,79.688kWh
13/09/2024,5:35PM,79.406kWh
13/09/2024,5:30PM,79.133kWh
13/09/2024,5:25PM,78.840kWh
13/09/2024,5:20PM,78.531kWh
13/09/2024,5:15PM,78.189kWh
13/09/2024,5:10PM,77.883kWh
13/09/2024,5:05PM,77.476kWh
13/09/2024,5:00PM,77.054kWh
13/09/2024,4:50PM,76.085kWh
13/09/2024,4:45PM,75.501kWh
13/09/2024,4:40PM,74.953kWh
13/09/2024,4:35PM,74.428kWh
13/09/2024,4:30PM,73.884kWh
13/09/2024,4:25PM,73.339kWh
13/09/2024,4:20PM,72.754kWh
13/09/2024,4:15PM,72.087kWh
13/09/2024,4:10PM,71.411kWh
13/09/2024,4:05PM,71.118kWh
13/09/2024,4:00PM,70.663kWh
13/09/2024,3:55PM,70.076kWh
13/09/2024,3:50PM,69.402kWh
13/09/2024,3:45PM,68.659kWh
13/09/2024,3:40PM,67.806kWh
13/09/2024,3:35PM,67.246kWh
13/09/2024,3:30PM,66.527kWh
13/09/2024,3:25PM,65.686kWh
13/09/2024,3:20PM,65.058kWh
13/09/2024,3:15PM,64.522kWh
13/09/2024,3:10PM,63.655kWh
13/09/2024,3:05PM,62.738kWh
13/09/2024,3:00PM,61.830kWh
13/09/2024,2:55PM,60.940kWh
13/09/2024,2:50PM,60.095kWh
13/09/2024,2:45PM,59.239kWh
13/09/2024,2:40PM,58.391kWh
13/09/2024,2:35PM,57.528kWh
13/09/2024,2:30PM,56.628kWh
13/09/2024,2:25PM,55.726kWh
13/09/2024,2:20PM,54.830kWh
13/09/2024,2:15PM,53.911kWh
13/09/2024,2:10PM,52.980kWh
13/09/2024,2:05PM,52.064kWh
13/09/2024,2:00PM,51.129kWh
13/09/2024,1:55PM,50.321kWh
13/09/2024,1:50PM,49.505kWh
13/09/2024,1:45PM,48.569kWh
13/09/2024,1:40PM,47.780kWh
13/09/2024,1:35PM,46.785kWh
13/09/2024,1:30PM,45.834kWh
13/09/2024,1:25PM,44.894kWh
13/09/2024,1:20PM,43.927kWh
13/09/2024,1:15PM,42.995kWh
13/09/2024,1:10PM,42.033kWh
13/09/2024,1:05PM,41.069kWh
13/09/2024,1:00PM,40.107kWh
13/09/2024,12:55PM,39.171kWh
13/09/2024,12:50PM,38.531kWh
13/09/2024,12:45PM,37.672kWh
13/09/2024,12:40PM,36.698kWh
13/09/2024,12:35PM,35.757kWh
13/09/2024,12:30PM,34.794kWh
13/09/2024,12:25PM,33.872kWh
13/09/2024,12:20PM,33.056kWh
13/09/2024,12:15PM,32.459kWh
13/09/2024,12:10PM,31.669kWh
13/09/2024,12:05PM,30.996kWh
13/09/2024,12:00PM,30.104kWh
13/09/2024,11:55AM,29.246kWh
13/09/2024,11:50AM,28.533kWh
13/09/2024,11:45AM,27.906kWh
13/09/2024,11:40AM,26.952kWh
13/09/2024,11:35AM,26.002kWh
13/09/2024,11:30AM,25.171kWh
13/09/2024,11:25AM,24.245kWh
13/09/2024,11:20AM,23.418kWh
13/09/2024,11:15AM,22.525kWh
13/09/2024,11:10AM,21.654kWh
13/09/2024,11:05AM,20.763kWh
13/09/2024,11:00AM,19.878kWh
13/09/2024,10:55AM,19.236kWh
13/09/2024,10:50AM,18.453kWh
13/09/2024,10:45AM,17.564kWh
13/09/2024,10:40AM,16.932kWh
13/09/2024,10:35AM,16.293kWh
13/09/2024,10:30AM,15.749kWh
13/09/2024,10:25AM,15.171kWh
13/09/2024,10:20AM,14.911kWh
13/09/2024,10:15AM,14.691kWh
13/09/2024,10:10AM,14.327kWh
13/09/2024,10:05AM,13.630kWh
13/09/2024,10:00AM,12.937kWh
13/09/2024,9:55AM,12.431kWh
13/09/2024,9:50AM,11.743kWh
13/09/2024,9:45AM,11.073kWh
13/09/2024,9:40AM,10.423kWh
13/09/2024,9:35AM,9.789kWh
13/09/2024,9:30AM,9.178kWh
13/09/2024,9:25AM,8.584kWh
13/09/2024,9:20AM,8.024kWh
13/09/2024,9:15AM,7.459kWh
13/09/2024,9:10AM,6.912kWh
13/09/2024,9:05AM,6.389kWh
13/09/2024,9:00AM,5.882kWh
13/09/2024,8:55AM,5.388kWh
13/09/2024,8:50AM,4.906kWh
13/09/2024,8:45AM,4.441kWh
13/09/2024,8:40AM,4.004kWh
13/09/2024,8:35AM,3.605kWh
13/09/2024,8:30AM,3.237kWh
13/09/2024,8:25AM,2.878kWh
13/09/2024,8:20AM,2.523kWh
13/09/2024,8:15AM,2.206kWh
13/09/2024,8:10AM,1.892kWh
13/09/2024,8:05AM,1.621kWh
13/09/2024,8:00AM,1.380kWh
13/09/2024,7:55AM,1.162kWh
13/09/2024,7:50AM,0.969kWh
13/09/2024,7:45AM,0.794kWh
13/09/2024,7:40AM,0.644kWh
13/09/2024,7:35AM,0.465kWh
13/09/2024,7:30AM,0.314kWh
13/09/2024,7:25AM,0.220kWh
13/09/2024,7:20AM,0.157kWh
13/09/2024,7:15AM,0.115kWh
13/09/2024,7:10AM,0.055kWh
13/09/2024,7:05AM,0.018kWh
13/09/2024,7:00AM,0.008kWh
13/09/2024,6:55AM,0.003kWh
13/09/2024,6:50AM,0.000kWh
13/09/2024,6:45AM,0.000kWh
13/09/2024,6:40AM,0.000kWh
13/09/2024,6:35AM,0.000kWh
13/09/2024,6:30AM,0.000kWh
13/09/2024,6:25AM,0.000kWh
13/09/2024,6:20AM,0.000kWh
13/09/2024,6:15AM,0.000kWh
13/09/2024,6:10AM,0.000kWh
13/09/2024,6:05AM,0.000kWh
13/09/2024,6:00AM,0.000kWh
13/09/2024,5:55AM,0.000kWh
13/09/2024,5:50AM,0.000kWh
13/09/2024,5:45AM,0.000kWh
13/09/2024,5:40AM,0.000kWh
13/09/2024,5:35AM,0.000kWh
13/09/2024,5:30AM,0.000kWh
13/09/2024,5:25AM,0.000kWh
13/09/2024,5:20AM,0.000kWh
13/09/2024,5:15AM,0.000kWh
13/09/2024,5:10AM,0.000kWh
13/09/2024,5:05AM,0.000kWh
13/09/2024,5:00AM,0.000kWh
13/09/2024,4:55AM,0.000kWh
13/09/2024,4:50AM,0.000kWh
13/09/2024,4:45AM,0.000kWh
13/09/2024,4:40AM,0.000kWh
13/09/2024,4:35AM,0.000kWh
13/09/2024,4:30AM,0.000kWh
13/09/2024,4:25AM,0.000kWh
13/09/2024,4:20AM,0.000kWh
13/09/2024,4:15AM,0.000kWh
13/09/2024,4:10AM,0.000kWh
13/09/2024,4:05AM,0.000kWh
13/09/2024,4:00AM,0.000kWh
13/09/2024,3:55AM,0.000kWh
13/09/2024,3:50AM,0.000kWh
13/09/2024,3:45AM,0.000kWh
13/09/2024,3:40AM,0.000kWh
13/09/2024,3:35AM,0.000kWh
13/09/2024,3:30AM,0.000kWh
13/09/2024,3:25AM,0.000kWh
13/09/2024,3:20AM,0.000kWh
13/09/2024,3:15AM,0.000kWh
13/09/2024,3:10AM,0.000kWh
13/09/2024,3:05AM,0.000kWh
13/09/2024,3:00AM,0.000kWh
13/09/2024,2:55AM,0.000kWh
13/09/2024,2:50AM,0.000kWh
13/09/2024,2:45AM,0.000kWh
13/09/2024,2:40AM,0.000kWh
13/09/2024,2:35AM,0.000kWh
13/09/2024,2:30AM,0.000kWh
13/09/2024,2:25AM,0.000kWh
13/09/2024,2:20AM,0.000kWh
13/09/2024,2:15AM,0.000kWh
13/09/2024,2:10AM,0.000kWh
13/09/2024,2:05AM,0.000kWh
13/09/2024,2:00AM,0.000kWh
13/09/2024,1:55AM,0.000kWh
13/09/2024,1:50AM,0.000kWh
13/09/2024,1:45AM,0.000kWh
13/09/2024,1:40AM,0.000kWh
13/09/2024,1:35AM,0.000kWh
13/09/2024,1:30AM,0.000kWh
13/09/2024,1:25AM,0.000kWh
13/09/2024,1:20AM,0.000kWh
13/09/2024,1:15AM,0.000kWh
13/09/2024,1:10AM,0.000kWh
13/09/2024,1:05AM,0.000kWh
13/09/2024,1:00AM,0.000kWh
13/09/2024,12:55AM,0.000kWh
13/09/2024,12:50AM,0.000kWh
13/09/2024,12:45AM,0.000kWh
13/09/2024,12:40AM,0.000kWh
13/09/2024,12:35AM,0.000kWh
13/09/2024,12:30AM,0.000kWh
13/09/2024,12:25AM,0.000kWh
13/09/2024,12:20AM,0.000kWh
13/09/2024,12:15AM,0.000kWh
13/09/2024,12:10AM,0.000kWh
13/09/2024,12:05AM,0.000kWh
12/09/2024,11:55PM,75.031kWh
12/09/2024,11:50PM,75.031kWh
12/09/2024,11:45PM,75.031kWh
12/09/2024,11:40PM,75.031kWh
12/09/2024,11:35PM,75.031kWh
12/09/2024,11:30PM,75.031kWh
12/09/2024,11:25PM,75.031kWh
12/09/2024,11:20PM,75.031kWh
12/09/2024,11:15PM,75.031kWh
12/09/2024,11:10PM,75.031kWh
12/09/2024,11:05PM,75.031kWh
12/09/2024,11:00PM,75.031kWh
12/09/2024,10:55PM,75.031kWh
12/09/2024,10:50PM,75.031kWh
12/09/2024,10:45PM,75.031kWh
12/09/2024,10:40PM,75.031kWh
12/09/2024,10:35PM,75.031kWh
12/09/2024,10:30PM,75.031kWh
12/09/2024,10:25PM,75.031kWh
12/09/2024,10:20PM,75.031kWh
12/09/2024,10:15PM,75.031kWh
12/09/2024,10:10PM,75.031kWh
12/09/2024,10:05PM,75.031kWh
12/09/2024,10:00PM,75.031kWh
12/09/2024,9:55PM,75.031kWh
12/09/2024,9:50PM,75.031kWh
12/09/2024,9:45PM,75.031kWh
12/09/2024,9:40PM,75.031kWh
12/09/2024,9:35PM,75.031kWh
12/09/2024,9:30PM,75.031kWh
12/09/2024,9:25PM,75.031kWh
12/09/2024,9:20PM,75.031kWh
12/09/2024,9:15PM,75.031kWh
12/09/2024,9:10PM,75.031kWh
12/09/2024,9:05PM,75.031kWh
12/09/2024,9:00PM,75.031kWh
12/09/2024,8:55PM,75.031kWh
12/09/2024,8:50PM,75.031kWh
12/09/2024,8:45PM,75.031kWh
12/09/2024,8:40PM,75.031kWh
12/09/2024,8:35PM,75.031kWh
12/09/2024,8:30PM,75.031kWh
12/09/2024,8:25PM,75.031kWh
12/09/2024,8:20PM,75.031kWh
12/09/2024,8:15PM,75.031kWh
12/09/2024,8:10PM,75.031kWh
12/09/2024,8:05PM,75.031kWh
12/09/2024,8:00PM,75.031kWh
12/09/2024,7:55PM,75.031kWh
12/09/2024,7:50PM,75.031kWh
12/09/2024,7:45PM,75.031kWh
12/09/2024,7:40PM,75.031kWh
12/09/2024,7:35PM,75.031kWh
12/09/2024,7:30PM,75.031kWh
12/09/2024,7:25PM,75.031kWh
12/09/2024,7:20PM,75.031kWh
12/09/2024,7:15PM,75.030kWh
12/09/2024,7:10PM,75.026kWh
12/09/2024,7:05PM,75.019kWh
12/09/2024,7:00PM,75.012kWh
12/09/2024,6:55PM,75.003kWh
12/09/2024,6:50PM,74.993kWh
12/09/2024,6:45PM,74.983kWh
12/09/2024,6:40PM,74.973kWh
12/09/2024,6:35PM,74.962kWh
12/09/2024,6:30PM,74.952kWh
12/09/2024,6:25PM,74.935kWh
12/09/2024,6:20PM,74.913kWh
12/09/2024,6:15PM,74.886kWh
12/09/2024,6:10PM,74.848kWh
12/09/2024,6:05PM,74.799kWh
12/09/2024,6:00PM,74.744kWh
12/09/2024,5:55PM,74.675kWh
12/09/2024,5:50PM,74.581kWh
12/09/2024,5:45PM,74.454kWh
12/09/2024,5:40PM,74.299kWh
12/09/2024,5:35PM,74.118kWh
12/09/2024,5:30PM,73.990kWh
12/09/2024,5:25PM,73.749kWh
12/09/2024,5:20PM,73.433kWh
12/09/2024,5:15PM,73.093kWh
12/09/2024,5:10PM,72.804kWh
12/09/2024,5:05PM,72.626kWh
12/09/2024,5:00PM,72.453kWh
12/09/2024,4:55PM,72.264kWh
12/09/2024,4:50PM,71.912kWh
12/09/2024,4:45PM,71.540kWh
12/09/2024,4:40PM,71.054kWh
12/09/2024,4:35PM,70.506kWh
12/09/2024,4:30PM,70.077kWh
12/09/2024,4:25PM,69.557kWh
12/09/2024,4:20PM,68.933kWh
12/09/2024,4:15PM,68.467kWh
12/09/2024,4:10PM,68.036kWh
12/09/2024,4:05PM,67.611kWh
12/09/2024,4:00PM,67.259kWh
12/09/2024,3:55PM,66.805kWh
12/09/2024,3:50PM,66.259kWh
12/09/2024,3:45PM,65.655kWh
12/09/2024,3:40PM,65.066kWh
12/09/2024,3:35PM,64.433kWh
12/09/2024,3:30PM,63.790kWh
12/09/2024,3:25PM,63.130kWh
12/09/2024,3:20PM,62.451kWh
12/09/2024,3:15PM,61.748kWh
12/09/2024,3:10PM,61.042kWh
12/09/2024,3:05PM,60.328kWh
12/09/2024,3:00PM,59.606kWh
12/09/2024,2:55PM,58.870kWh
12/09/2024,2:50PM,58.116kWh
12/09/2024,2:45PM,57.349kWh
12/09/2024,2:40PM,56.577kWh
12/09/2024,2:35PM,55.792kWh
12/09/2024,2:30PM,55.009kWh
12/09/2024,2:25PM,54.218kWh
12/09/2024,2:20PM,53.419kWh
12/09/2024,2:15PM,52.722kWh
12/09/2024,2:10PM,51.927kWh
12/09/2024,2:05PM,51.122kWh
12/09/2024,2:00PM,50.305kWh
12/09/2024,1:55PM,49.467kWh
12/09/2024,1:50PM,48.632kWh
12/09/2024,1:45PM,47.776kWh
12/09/2024,1:40PM,46.909kWh
12/09/2024,1:35PM,46.156kWh
12/09/2024,1:30PM,45.326kWh
